V5,V2
-0.285,-0.23
-0.28,-0.215
-0.285,-0.23
-0.275,-0.23
-0.305,-0.245
-0.295,-0.235
-0.29,-0.23
-0.285,-0.21
-0.28,-0.215
-0.285,-0.23
-0.3,-0.23
-0.305,-0.24
-0.305,-0.22
-0.29,-0.205
-0.29,-0.205
-0.28,-0.215
-0.285,-0.21
-0.285,-0.205
-0.275,-0.17
-0.27,-0.14
-0.26,-0.135
-0.26,-0.15
-0.255,-0.13
-0.255,-0.065
-0.23,0.125
-0.19,0.49
-0.155,0.79
-0.1,0.745
0.01,0.495
0.24,0.32
0.63,0.245
0.915,0.21
0.885,0.14
0.595,0.075
0.32,-0.01
0.2,-0.11
0.19,-0.21
0.21,-0.35
0.205,-0.515
0.21,-0.695
0.195,-0.885
0.19,-1.105
0.2,-1.27
0.225,-1.405
0.23,-1.53
0.22,-1.66
0.205,-1.815
0.185,-2.015
0.195,-2.225
0.18,-2.42
0.175,-2.57
0.155,-2.71
0.115,-2.83
0.07,-2.935
0.045,-3.025
0.0,-3.085
-0.04,-3.125
-0.105,-3.17
-0.155,-3.205
-0.215,-3.22
-0.28,-3.24
-0.35,-3.22
-0.405,-3.23
-0.45,-3.245
-0.44,-3.24
-0.39,-3.21
-0.33,-3.17
-0.285,-3.095
-0.28,-2.99
-0.305,-2.875
-0.325,-2.755
-0.365,-2.59
-0.36,-2.39
-0.35,-2.175
-0.335,-1.94
-0.31,-1.72
-0.29,-1.48
-0.29,-1.2
-0.29,-0.96
-0.31,-0.745
-0.32,-0.54
-0.335,-0.34
-0.34,-0.14
-0.345,0.03
-0.355,0.19
-0.335,0.355
-0.335,0.46
-0.335,0.55
-0.34,0.635
-0.345,0.675
-0.33,0.745
-0.32,0.795
-0.305,0.84
-0.3,0.885
-0.3,0.92
-0.3,0.96
-0.29,1.01
-0.285,1.05
-0.285,1.085
-0.28,1.11
-0.29,1.14
-0.28,1.185
-0.285,1.23
-0.265,1.275
-0.265,1.3
-0.27,1.32
-0.265,1.35
-0.27,1.4
-0.265,1.435
-0.25,1.49
-0.245,1.515
-0.245,1.55
-0.245,1.57
-0.25,1.625
-0.25,1.665
-0.225,1.7
-0.225,1.735
-0.23,1.76
-0.235,1.785
-0.245,1.83
-0.215,1.86
-0.21,1.9
-0.195,1.92
-0.2,1.925
-0.2,1.935
-0.205,1.96
-0.195,1.965
-0.17,1.985
-0.16,1.98
-0.165,1.96
-0.16,1.935
-0.165,1.925
-0.145,1.915
-0.135,1.895
-0.135,1.86
-0.135,1.81
-0.13,1.76
-0.135,1.725
-0.125,1.675
-0.12,1.63
-0.11,1.555
-0.125,1.49
-0.125,1.42
-0.135,1.35
-0.13,1.3
-0.125,1.235
-0.12,1.16
-0.125,1.065
-0.13,1.0
-0.14,0.93
-0.135,0.875
-0.135,0.83
-0.13,0.76
-0.135,0.69
-0.15,0.635
-0.16,0.575
-0.16,0.54
-0.145,0.495
-0.15,0.445
-0.155,0.4
-0.175,0.34
-0.19,0.295
-0.185,0.28
-0.185,0.245
-0.185,0.205
-0.19,0.17
-0.205,0.14
-0.205,0.115
-0.205,0.11
-0.2,0.095
-0.205,0.065
-0.21,0.045
-0.23,0.03
-0.22,0.025
-0.225,0.015
-0.215,0.02
-0.22,0.005
-0.22,-0.02
-0.23,-0.035
-0.225,-0.035
-0.22,-0.04
-0.225,-0.02
-0.23,-0.04
-0.23,-0.045
-0.235,-0.05
-0.24,-0.055
-0.225,-0.045
-0.225,-0.025
-0.225,-0.035
-0.22,-0.04
-0.225,-0.05
-0.235,-0.055
-0.225,-0.035
-0.22,-0.03
-0.21,-0.025
-0.215,-0.035
-0.23,-0.035
-0.235,-0.035
-0.225,-0.03
-0.21,-0.015
-0.21,-0.02
-0.22,-0.015
-0.22,-0.03
-0.23,-0.025
-0.225,-0.005
-0.215,0.005
-0.22,0.0
-0.215,-0.01
-0.23,-0.015
-0.23,-0.03
-0.22,-0.025
-0.21,-0.005
-0.215,0.005
-0.215,-0.02
-0.225,-0.035
-0.225,-0.035
-0.225,-0.03
-0.215,-0.025
-0.22,-0.03
-0.235,-0.04
-0.24,-0.055
-0.235,-0.06
-0.24,-0.05
-0.23,-0.045
-0.225,-0.05
-0.23,-0.07
-0.24,-0.085
-0.245,-0.085
-0.245,-0.085
-0.24,-0.075
-0.23,-0.095
-0.24,-0.11
-0.245,-0.125
-0.25,-0.115
-0.25,-0.115
-0.245,-0.115
-0.24,-0.13
-0.24,-0.145
-0.255,-0.15
-0.27,-0.145
-0.255,-0.15
-0.255,-0.135
-0.245,-0.155
-0.255,-0.165
-0.26,-0.175
-0.27,-0.18
-0.265,-0.175
-0.265,-0.165
-0.265,-0.17
-0.255,-0.19
-0.265,-0.185
-0.27,-0.195
-0.275,-0.19
-0.26,-0.185
-0.26,-0.18
-0.265,-0.2
-0.27,-0.215
-0.27,-0.215
-0.275,-0.205
-0.26,-0.21
-0.255,-0.215
-0.265,-0.215
-0.28,-0.23
-0.29,-0.215
-0.285,-0.215
-0.27,-0.21
-0.265,-0.205
-0.27,-0.22
-0.28,-0.23
-0.29,-0.235
-0.29,-0.215
-0.275,-0.215
-0.265,-0.225
-0.27,-0.23
-0.29,-0.235
-0.28,-0.235
-0.275,-0.235
-0.26,-0.23
-0.26,-0.22
-0.27,-0.24
-0.285,-0.24
-0.285,-0.245
-0.27,-0.245
-0.265,-0.23
-0.27,-0.23
-0.265,-0.24
-0.285,-0.25
-0.285,-0.245
-0.28,-0.235
-0.265,-0.225
-0.265,-0.235
-0.27,-0.245
-0.27,-0.26
-0.27,-0.26
-0.265,-0.235
-0.265,-0.24
-0.265,-0.24
-0.27,-0.255
-0.27,-0.255
-0.28,-0.245
-0.28,-0.245
-0.26,-0.23
-0.255,-0.23
-0.255,-0.235
-0.26,-0.255
-0.265,-0.235
-0.255,-0.225
-0.245,-0.205
-0.235,-0.205
-0.24,-0.185
-0.23,-0.125
-0.235,0.065
-0.195,0.445
-0.15,0.835
-0.12,0.89
-0.035,0.635
0.17,0.35
0.515,0.22
0.87,0.175
0.87,0.12
0.57,0.035
0.275,-0.05
0.155,-0.16
0.15,-0.3
0.175,-0.435
0.18,-0.61
0.175,-0.79
0.16,-1.015
0.16,-1.225
0.16,-1.38
0.17,-1.52
0.165,-1.625
0.155,-1.785
0.135,-1.98
0.115,-2.2
0.115,-2.4
0.12,-2.56
0.11,-2.67
0.09,-2.77
0.04,-2.885
0.0,-3.005
-0.06,-3.09
-0.11,-3.115
-0.16,-3.15
-0.205,-3.185
-0.27,-3.215
-0.335,-3.245
-0.425,-3.25
-0.505,-3.24
-0.53,-3.245
-0.52,-3.255
-0.48,-3.25
-0.445,-3.245
-0.405,-3.22
-0.375,-3.16
-0.345,-3.08
-0.335,-2.985
-0.34,-2.87
-0.33,-2.74
-0.32,-2.545
-0.295,-2.35
-0.27,-2.09
-0.255,-1.815
-0.225,-1.54
-0.22,-1.275
-0.225,-1.0
-0.255,-0.765
-0.27,-0.53
-0.29,-0.315
-0.305,-0.125
-0.31,0.055
-0.325,0.25
-0.32,0.4
-0.31,0.525
-0.29,0.61
-0.295,0.655
-0.305,0.7
-0.315,0.75
-0.305,0.8
-0.305,0.84
-0.3,0.88
-0.3,0.905
-0.305,0.92
-0.315,0.96
-0.305,0.995
-0.295,1.03
-0.295,1.045
-0.31,1.08
-0.315,1.09
-0.315,1.135
-0.32,1.17
-0.305,1.195
-0.3,1.215
-0.315,1.265
-0.31,1.27
-0.315,1.325
-0.305,1.355
-0.295,1.4
-0.29,1.43
-0.3,1.46
-0.3,1.485
-0.295,1.525
-0.295,1.57
-0.275,1.62
-0.26,1.64
-0.28,1.67
-0.28,1.7
-0.27,1.74
-0.26,1.775
-0.255,1.825
-0.245,1.855
-0.24,1.875
-0.245,1.88
-0.245,1.91
-0.235,1.94
-0.205,1.955
-0.21,1.97
-0.2,1.955
-0.21,1.96
-0.205,1.955
-0.18,1.97
-0.165,1.945
-0.155,1.935
-0.155,1.905
-0.155,1.86
-0.155,1.83
-0.14,1.8
-0.135,1.775
-0.115,1.72
-0.125,1.65
-0.125,1.59
-0.135,1.525
-0.12,1.47
-0.125,1.42
-0.11,1.34
-0.115,1.25
-0.13,1.185
-0.135,1.12
-0.13,1.05
-0.115,0.99
-0.125,0.915
-0.115,0.84
-0.12,0.77
-0.14,0.705
-0.125,0.66
-0.13,0.61
-0.125,0.55
-0.135,0.49
-0.145,0.44
-0.15,0.385
-0.15,0.355
-0.145,0.325
-0.15,0.28
-0.175,0.245
-0.18,0.2
-0.2,0.185
-0.19,0.155
-0.19,0.145
-0.185,0.13
-0.2,0.11
-0.21,0.08
-0.22,0.065
-0.21,0.065
-0.21,0.055
-0.225,0.05
-0.225,0.025
-0.23,0.01
-0.235,-0.005
-0.225,0.005
-0.225,0.01
-0.22,0.005
-0.225,0.005
-0.245,-0.005
-0.25,0.0
-0.24,0.0
-0.235,0.005
-0.23,0.0
-0.225,-0.005
-0.24,-0.02
-0.24,-0.01
-0.235,-0.005
-0.24,0.0
-0.235,0.005
-0.245,-0.01
-0.255,-0.01
-0.26,-0.01
-0.255,0.0
-0.245,0.0
-0.255,-0.005
-0.255,-0.015
-0.255,-0.01
-0.26,-0.015
-0.255,-0.015
-0.24,-0.005
-0.24,-0.01
-0.245,-0.02
-0.265,-0.025
-0.285,-0.04
-0.28,-0.025
-0.275,-0.015
-0.255,-0.02
-0.245,-0.05
-0.25,-0.065
-0.265,-0.06
-0.25,-0.06
-0.25,-0.055
-0.25,-0.055
-0.255,-0.075
-0.275,-0.1
-0.29,-0.1
-0.285,-0.085
-0.29,-0.09
-0.27,-0.105
-0.275,-0.11
-0.28,-0.12
-0.285,-0.125
-0.285,-0.115
-0.29,-0.125
-0.285,-0.12
-0.3,-0.125
-0.295,-0.14
-0.3,-0.16
-0.29,-0.145
-0.29,-0.16
-0.275,-0.155
-0.285,-0.175
-0.31,-0.18
-0.305,-0.18
-0.31,-0.175
-0.305,-0.165
-0.3,-0.18
-0.305,-0.185
-0.305,-0.205
-0.315,-0.205
-0.3,-0.19
-0.295,-0.195
-0.295,-0.2
-0.295,-0.21
-0.31,-0.22
-0.33,-0.205
-0.305,-0.205
-0.3,-0.2
-0.29,-0.215
-0.29,-0.215
-0.3,-0.23
-0.31,-0.23
-0.305,-0.22
-0.3,-0.215
-0.295,-0.215
-0.3,-0.235
-0.305,-0.25
-0.315,-0.245
-0.3,-0.235
-0.305,-0.235
-0.3,-0.23
-0.29,-0.24
-0.305,-0.255
-0.315,-0.245
-0.305,-0.245
-0.305,-0.24
-0.295,-0.25
-0.295,-0.25
-0.305,-0.265
-0.305,-0.255
-0.295,-0.24
-0.305,-0.24
-0.295,-0.255
-0.295,-0.255
-0.315,-0.275
-0.31,-0.26
-0.315,-0.25
-0.3,-0.24
-0.295,-0.24
-0.305,-0.255
-0.31,-0.275
-0.32,-0.265
-0.31,-0.255
-0.3,-0.26
-0.285,-0.25
-0.28,-0.255
-0.285,-0.27
-0.29,-0.27
-0.29,-0.25
-0.27,-0.24
-0.27,-0.255
-0.28,-0.26
-0.295,-0.265
-0.305,-0.26
-0.29,-0.25
-0.29,-0.24
-0.285,-0.25
-0.285,-0.255
-0.285,-0.27
-0.295,-0.265
-0.295,-0.25
-0.28,-0.235
-0.27,-0.235
-0.27,-0.255
-0.275,-0.255
-0.27,-0.25
-0.25,-0.235
-0.24,-0.185
-0.23,-0.13
-0.225,0.075
-0.2,0.44
-0.17,0.72
-0.095,0.665
0.055,0.41
0.35,0.235
0.715,0.16
0.88,0.095
0.7,0.045
0.39,-0.025
0.205,-0.105
0.15,-0.235
0.15,-0.375
0.145,-0.53
0.125,-0.705
0.11,-0.9
0.125,-1.095
0.135,-1.29
0.14,-1.6
0.12,-1.73
0.11,-1.865
0.09,-2.015
0.09,-2.205
0.09,-2.43
0.08,-2.59
0.06,-2.705
0.045,-2.79
0.035,-2.875
-0.01,-2.98
-0.045,-3.07
-0.1,-3.145
-0.17,-3.17
-0.22,-3.195
-0.265,-3.205
-0.31,-3.24
-0.375,-3.255
-0.46,-3.28
-0.55,-3.275
-0.6,-3.25
-0.6,-3.26
-0.59,-3.245
-0.57,-3.235
-0.525,-3.235
-0.5,-3.195
-0.485,-3.12
-0.48,-3.025
-0.485,-2.9
-0.49,-2.77
-0.48,-2.61
-0.485,-2.405
-0.45,-2.175
-0.42,-1.925
-0.375,-1.685
-0.335,-1.44
-0.32,-1.185
-0.315,-0.935
-0.32,-0.71
-0.32,-0.495
-0.305,-0.3
-0.295,-0.145
-0.3,0.005
-0.295,0.175
-0.28,0.32
-0.27,0.455
-0.255,0.535
-0.25,0.59
-0.23,0.635
-0.225,0.695
-0.22,0.735
-0.21,0.77
-0.215,0.79
-0.225,0.815
-0.235,0.83
-0.245,0.87
-0.225,0.895
-0.21,0.925
-0.21,0.96
-0.195,0.975
-0.2,1.01
-0.215,1.045
-0.215,1.085
-0.22,1.115
-0.225,1.135
-0.23,1.15
-0.23,1.155
-0.25,1.19
-0.245,1.23
-0.25,1.255
-0.24,1.29
-0.235,1.31
-0.235,1.33
-0.245,1.36
-0.24,1.405
-0.245,1.435
-0.255,1.48
-0.26,1.49
-0.275,1.5
-0.275,1.54
-0.26,1.58
-0.255,1.625
-0.255,1.635
-0.26,1.645
-0.265,1.665
-0.265,1.705
-0.25,1.75
-0.24,1.775
-0.235,1.785
-0.225,1.8
-0.23,1.81
-0.23,1.825
-0.215,1.85
-0.21,1.865
-0.22,1.875
-0.21,1.87
-0.215,1.85
-0.21,1.86
-0.195,1.86
-0.175,1.865
-0.15,1.86
-0.145,1.83
-0.155,1.795
-0.16,1.77
-0.165,1.765
-0.145,1.735
-0.14,1.695
-0.13,1.645
-0.125,1.59
-0.105,1.54
-0.1,1.495
-0.085,1.455
-0.075,1.385
-0.08,1.325
-0.105,1.245
-0.1,1.205
-0.095,1.145
-0.095,1.095
-0.085,1.04
-0.09,0.96
-0.1,0.885
-0.115,0.845
-0.1,0.79
-0.09,0.75
-0.09,0.69
-0.095,0.615
-0.115,0.555
-0.125,0.505
-0.12,0.465
-0.11,0.425
-0.115,0.385
-0.12,0.335
-0.12,0.29
-0.14,0.255
-0.14,0.24
-0.135,0.215
-0.14,0.19
-0.16,0.155
-0.17,0.11
-0.18,0.1
-0.175,0.09
-0.175,0.08
-0.165,0.065
-0.18,0.03
-0.19,0.015
-0.2,0.0
-0.2,-0.005
-0.185,-0.005
-0.195,-0.01
-0.18,-0.03
-0.205,-0.04
-0.215,-0.03
-0.215,-0.035
-0.21,-0.03
-0.21,-0.04
-0.22,-0.05
-0.23,-0.06
-0.235,-0.05
-0.23,-0.04
-0.22,-0.035
-0.22,-0.045
-0.225,-0.045
-0.23,-0.055
-0.235,-0.05
-0.23,-0.05
-0.225,-0.035
-0.225,-0.035
-0.235,-0.05
-0.24,-0.04
-0.255,-0.05
-0.24,-0.045
-0.23,-0.04
-0.23,-0.03
-0.235,-0.065
-0.255,-0.06
-0.26,-0.05
-0.25,-0.04
-0.245,-0.04
-0.245,-0.04
-0.245,-0.055
-0.25,-0.07
-0.26,-0.055
-0.26,-0.055
-0.24,-0.045
-0.25,-0.045
-0.26,-0.065
-0.25,-0.08
-0.26,-0.085
-0.255,-0.07
-0.245,-0.065
-0.245,-0.08
-0.26,-0.09
-0.26,-0.105
-0.255,-0.105
-0.26,-0.095
-0.26,-0.095
-0.255,-0.105
-0.265,-0.115
-0.275,-0.13
-0.28,-0.14
-0.27,-0.125
-0.265,-0.135
-0.26,-0.135
-0.275,-0.145
-0.275,-0.16
-0.285,-0.16
-0.28,-0.155
-0.27,-0.16
-0.275,-0.17
-0.275,-0.165
-0.29,-0.18
-0.3,-0.19
-0.285,-0.195
-0.28,-0.175
-0.28,-0.175
-0.29,-0.205
-0.29,-0.205
-0.3,-0.215
-0.3,-0.21
-0.275,-0.2
-0.285,-0.2
-0.285,-0.22
-0.295,-0.225
-0.305,-0.23
-0.3,-0.21
-0.29,-0.205
-0.285,-0.21
-0.285,-0.24
-0.305,-0.25
-0.305,-0.24
-0.3,-0.23
-0.29,-0.23
-0.3,-0.23
-0.295,-0.25
-0.315,-0.255
-0.315,-0.245
-0.31,-0.245
-0.3,-0.245
-0.3,-0.24
-0.305,-0.265
-0.305,-0.26
-0.32,-0.255
-0.3,-0.25
-0.295,-0.245
-0.295,-0.245
-0.3,-0.255
-0.315,-0.27
-0.32,-0.27
-0.31,-0.275
-0.305,-0.25
-0.29,-0.255
-0.3,-0.26
-0.31,-0.28
-0.315,-0.275
-0.305,-0.26
-0.3,-0.265
-0.3,-0.26
-0.295,-0.27
-0.315,-0.28
-0.315,-0.275
-0.315,-0.27
-0.3,-0.265
-0.295,-0.27
-0.305,-0.285
-0.315,-0.29
-0.315,-0.28
-0.305,-0.27
-0.295,-0.265
-0.3,-0.265
-0.295,-0.285
-0.32,-0.28
-0.32,-0.285
-0.29,-0.265
-0.3,-0.265
-0.295,-0.265
-0.3,-0.265
-0.295,-0.285
-0.3,-0.275
-0.3,-0.265
-0.3,-0.255
-0.3,-0.27
-0.29,-0.28
-0.305,-0.29
-0.3,-0.265
-0.31,-0.27
-0.3,-0.265
-0.285,-0.26
-0.295,-0.275
-0.305,-0.28
-0.31,-0.27
-0.29,-0.265
-0.275,-0.255
-0.27,-0.265
-0.27,-0.26
-0.285,-0.26
-0.28,-0.215
-0.265,-0.165
-0.25,-0.02
-0.23,0.25
-0.205,0.63
-0.17,0.85
-0.13,0.755
-0.015,0.51
0.215,0.33
0.58,0.24
0.845,0.17
0.815,0.125
0.54,0.06
0.27,0.015
0.155,-0.055
0.135,-0.16
0.14,-0.295
0.135,-0.43
0.14,-0.575
0.14,-0.74
0.15,-0.905
0.165,-1.095
0.16,-1.255
0.16,-1.415
0.17,-1.55
0.17,-1.67
0.16,-1.805
0.145,-1.97
0.125,-2.165
0.125,-2.385
0.1,-2.56
0.1,-2.66
0.08,-2.755
0.05,-2.845
0.02,-2.96
-0.03,-3.05
-0.08,-3.125
-0.13,-3.15
-0.16,-3.18
-0.22,-3.21
-0.28,-3.24
-0.34,-3.27
-0.41,-3.265
-0.48,-3.26
-0.53,-3.255
-0.565,-3.265
-0.555,-3.27
-0.525,-3.27
-0.49,-3.245
-0.465,-3.21
-0.445,-3.155
-0.45,-3.085
-0.445,-3.005
-0.445,-2.92
-0.45,-2.78
-0.43,-2.615
-0.41,-2.465
-0.4,-2.285
-0.385,-2.11
-0.37,-1.905
-0.34,-1.67
-0.305,-1.425
-0.28,-1.185
-0.28,-0.97
-0.295,-0.785
-0.32,-0.61
-0.325,-0.4
-0.32,-0.22
-0.32,-0.055
-0.325,0.11
-0.32,0.25
-0.33,0.385
-0.325,0.515
-0.32,0.615
-0.295,0.69
-0.295,0.745
-0.29,0.785
-0.29,0.825
-0.29,0.865
-0.275,0.915
-0.275,0.96
-0.285,0.99
-0.275,1.01
-0.265,1.03
-0.265,1.065
-0.25,1.11
-0.25,1.145
-0.245,1.16
-0.245,1.18
-0.25,1.185
-0.24,1.235
-0.225,1.25
-0.23,1.285
-0.225,1.29
-0.23,1.3
-0.225,1.31
-0.235,1.34
-0.215,1.365
-0.2,1.39
-0.18,1.41
-0.185,1.425
-0.18,1.455
-0.175,1.5
-0.175,1.545
-0.175,1.585
-0.18,1.635
-0.2,1.66
-0.22,1.685
-0.23,1.71
-0.225,1.755
-0.235,1.78
-0.24,1.805
-0.255,1.825
-0.25,1.825
-0.255,1.855
-0.24,1.89
-0.23,1.905
-0.235,1.92
-0.23,1.92
-0.24,1.905
-0.24,1.905
-0.23,1.915
-0.215,1.91
-0.225,1.89
-0.22,1.855
-0.21,1.82
-0.21,1.805
-0.195,1.785
-0.195,1.745
-0.185,1.7
-0.19,1.645
-0.19,1.595
-0.185,1.55
-0.17,1.505
-0.165,1.47
-0.17,1.39
-0.16,1.335
-0.17,1.25
-0.165,1.19
-0.145,1.135
-0.15,1.085
-0.145,1.02
-0.15,0.945
-0.155,0.87
-0.16,0.805
-0.16,0.745
-0.15,0.705
-0.155,0.635
-0.15,0.565
-0.165,0.505
-0.175,0.465
-0.165,0.43
-0.165,0.385
-0.175,0.345
-0.185,0.28
-0.205,0.245
-0.205,0.21
-0.2,0.19
-0.195,0.17
-0.2,0.135
-0.215,0.09
-0.215,0.075
-0.225,0.04
-0.22,0.05
-0.21,0.035
-0.215,0.02
-0.215,0.0
-0.24,-0.03
-0.245,-0.035
-0.25,-0.03
-0.24,-0.025
-0.245,-0.04
-0.25,-0.055
-0.26,-0.065
