noise1,noise2
-0.31,0.13
-0.31,0.14
-0.31,0.145
-0.305,0.15
-0.3,0.15
-0.295,0.165
-0.29,0.17
-0.295,0.175
-0.27,0.15
-0.28,0.15
-0.3,0.15
-0.32,0.15
-0.325,0.155
-0.315,0.165
-0.31,0.17
-0.315,0.17
-0.335,0.17
-0.36,0.18
-0.365,0.18
-0.36,0.175
-0.35,0.175
-0.365,0.175
-0.375,0.185
-0.38,0.2
-0.385,0.195
-0.395,0.19
-0.405,0.19
-0.395,0.18
-0.39,0.195
-0.395,0.21
-0.395,0.185
-0.395,0.18
-0.4,0.18
-0.395,0.18
-0.395,0.185
-0.395,0.19
-0.385,0.18
-0.395,0.18
-0.4,0.195
-0.405,0.21
-0.41,0.21
-0.415,0.205
-0.41,0.2
-0.415,0.2
-0.415,0.195
-0.435,0.2
-0.45,0.195
-0.47,0.21
-0.48,0.22
-0.47,0.235
-0.455,0.235
-0.455,0.23
-0.455,0.235
-0.465,0.235
-0.455,0.23
-0.435,0.225
-0.425,0.2
-0.46,0.245
-0.485,0.26
-0.5,0.25
-0.505,0.25
-0.5,0.235
-0.485,0.225
-0.485,0.26
-0.5,0.26
-0.52,0.255
-0.53,0.25
-0.535,0.235
-0.54,0.235
-0.535,0.255
-0.535,0.255
-0.535,0.255
-0.525,0.265
-0.525,0.265
-0.525,0.26
-0.53,0.265
-0.53,0.265
-0.545,0.25
-0.56,0.245
-0.56,0.24
-0.56,0.285
-0.555,0.29
-0.555,0.28
-0.57,0.28
-0.58,0.275
-0.585,0.275
-0.575,0.295
-0.58,0.29
-0.59,0.285
-0.59,0.295
-0.59,0.27
-0.58,0.255
-0.56,0.275
-0.605,0.275
-0.625,0.28
-0.615,0.295
-0.6,0.31
-0.595,0.305
-0.595,0.29
-0.615,0.29
-0.615,0.31
-0.61,0.32
-0.625,0.315
-0.605,0.315
-0.595,0.32
-0.605,0.33
-0.615,0.315
-0.63,0.31
-0.65,0.32
-0.63,0.325
-0.625,0.33
-0.64,0.33
-0.685,0.345
-0.69,0.34
-0.675,0.33
-0.685,0.33
-0.635,0.335
-0.64,0.335
-0.665,0.34
-0.665,0.345
-0.655,0.35
-0.635,0.345
-0.64,0.345
-0.65,0.355
-0.655,0.36
-0.655,0.35
-0.64,0.345
-0.64,0.355
-0.66,0.37
-0.665,0.38
-0.67,0.385
-0.66,0.385
-0.665,0.37
-0.675,0.375
-0.685,0.385
-0.685,0.38
-0.685,0.38
-0.69,0.385
-0.685,0.385
-0.68,0.4
-0.685,0.405
-0.695,0.395
-0.715,0.385
-0.71,0.385
-0.685,0.395
-0.68,0.395
-0.68,0.395
-0.685,0.405
-0.67,0.41
-0.665,0.41
-0.67,0.41
-0.665,0.405
-0.69,0.41
-0.69,0.4
-0.69,0.39
-0.68,0.415
-0.68,0.425
-0.695,0.42
-0.715,0.42
-0.72,0.41
-0.72,0.405
-0.725,0.405
-0.73,0.405
-0.72,0.405
-0.71,0.415
-0.705,0.42
-0.7,0.425
-0.71,0.43
-0.7,0.42
-0.69,0.415
-0.685,0.415
-0.71,0.435
-0.715,0.43
-0.72,0.415
-0.715,0.425
-0.71,0.435
-0.71,0.435
-0.715,0.425
-0.7,0.435
-0.695,0.44
-0.705,0.43
-0.745,0.43
-0.755,0.44
-0.74,0.45
-0.71,0.445
-0.7,0.435
-0.705,0.435
-0.695,0.43
-0.75,0.45
-0.76,0.45
-0.77,0.44
-0.75,0.44
-0.74,0.445
-0.745,0.435
-0.755,0.435
-0.77,0.445
-0.78,0.46
-0.775,0.46
-0.755,0.455
-0.755,0.445
-0.775,0.445
-0.775,0.445
-0.78,0.44
-0.775,0.44
-0.77,0.45
-0.76,0.455
-0.75,0.455
-0.75,0.465
-0.755,0.46
-0.76,0.445
-0.755,0.445
-0.75,0.47
-0.75,0.47
-0.76,0.445
-0.76,0.455
-0.76,0.46
-0.755,0.45
-0.76,0.455
-0.765,0.45
-0.76,0.445
-0.765,0.48
-0.775,0.48
-0.785,0.47
-0.785,0.475
-0.8,0.47
-0.8,0.48
-0.79,0.475
-0.79,0.475
-0.8,0.48
-0.815,0.485
-0.815,0.475
-0.8,0.47
-0.795,0.465
-0.81,0.465
-0.815,0.47
-0.815,0.47
-0.805,0.47
-0.795,0.47
-0.785,0.465
-0.795,0.465
-0.805,0.465
-0.815,0.475
-0.825,0.49
-0.81,0.485
-0.815,0.475
-0.825,0.465
-0.81,0.465
-0.805,0.48
-0.805,0.475
-0.81,0.455
-0.815,0.47
-0.815,0.475
-0.815,0.47
-0.815,0.47
-0.815,0.475
-0.82,0.485
-0.815,0.485
-0.81,0.48
-0.815,0.47
-0.815,0.47
-0.825,0.475
-0.83,0.475
-0.84,0.48
-0.83,0.51
-0.825,0.51
-0.825,0.495
-0.815,0.49
-0.805,0.485
-0.8,0.49
-0.81,0.49
-0.82,0.49
-0.825,0.49
-0.815,0.48
-0.82,0.48
-0.825,0.485
-0.825,0.495
-0.82,0.495
-0.825,0.485
-0.835,0.465
-0.825,0.48
-0.835,0.49
-0.845,0.49
-0.845,0.48
-0.84,0.49
-0.83,0.5
-0.805,0.49
-0.805,0.475
-0.81,0.47
-0.82,0.48
-0.835,0.485
-0.845,0.49
-0.85,0.49
-0.85,0.49
-0.84,0.495
-0.83,0.495
-0.83,0.5
-0.835,0.505
-0.845,0.515
-0.835,0.5
-0.835,0.485
-0.83,0.485
-0.83,0.5
-0.835,0.485
-0.835,0.48
-0.82,0.49
-0.795,0.505
-0.795,0.49
-0.805,0.48
-0.825,0.495
-0.84,0.495
-0.85,0.49
-0.85,0.47
-0.825,0.475
-0.815,0.48
-0.815,0.485
-0.82,0.485
-0.825,0.485
-0.82,0.475
-0.82,0.475
-0.82,0.465
-0.815,0.46
-0.795,0.47
-0.795,0.46
-0.805,0.45
-0.82,0.44
-0.805,0.465
-0.8,0.475
-0.8,0.48
-0.8,0.48
-0.79,0.49
-0.78,0.5
-0.78,0.5
-0.785,0.5
-0.79,0.495
-0.79,0.48
-0.81,0.485
-0.82,0.49
-0.81,0.485
-0.79,0.485
-0.775,0.48
-0.765,0.47
-0.765,0.47
-0.78,0.475
-0.795,0.485
-0.805,0.485
-0.805,0.485
-0.805,0.48
-0.795,0.475
-0.775,0.485
-0.76,0.485
-0.745,0.475
-0.75,0.475
-0.765,0.48
-0.78,0.475
-0.775,0.485
-0.765,0.48
-0.76,0.475
-0.755,0.485
-0.77,0.48
-0.775,0.475
-0.765,0.465
-0.76,0.465
-0.755,0.46
-0.755,0.465
-0.755,0.47
-0.75,0.48
-0.745,0.49
-0.745,0.49
-0.745,0.475
-0.745,0.465
-0.735,0.475
-0.74,0.475
-0.77,0.48
-0.795,0.49
-0.755,0.485
-0.75,0.49
-0.755,0.5
-0.735,0.49
-0.725,0.485
-0.715,0.48
-0.705,0.47
-0.705,0.47
-0.7,0.475
-0.7,0.49
-0.72,0.47
-0.74,0.475
-0.755,0.49
-0.75,0.49
-0.735,0.485
-0.725,0.49
-0.725,0.49
-0.73,0.485
-0.73,0.485
-0.715,0.495
-0.715,0.495
-0.71,0.485
-0.72,0.475
-0.74,0.475
-0.74,0.48
-0.73,0.485
-0.73,0.485
-0.735,0.49
-0.73,0.485
-0.73,0.49
-0.72,0.47
-0.705,0.47
-0.69,0.465
-0.695,0.475
-0.7,0.48
-0.705,0.49
-0.685,0.47
-0.685,0.46
-0.695,0.455
-0.705,0.455
-0.7,0.46
-0.685,0.47
-0.68,0.485
-0.68,0.475
-0.675,0.47
-0.665,0.47
-0.685,0.47
-0.69,0.48
-0.685,0.49
-0.685,0.49
-0.695,0.49
-0.705,0.495
-0.715,0.495
-0.7,0.48
-0.675,0.47
-0.645,0.475
-0.65,0.465
-0.67,0.46
-0.69,0.465
-0.7,0.465
-0.685,0.48
-0.655,0.485
-0.625,0.465
-0.625,0.47
-0.635,0.48
-0.635,0.48
-0.64,0.475
-0.65,0.47
-0.645,0.47
-0.64,0.47
-0.635,0.465
-0.625,0.47
-0.63,0.47
-0.635,0.465
-0.635,0.455
-0.62,0.455
-0.61,0.465
-0.605,0.475
-0.615,0.475
-0.615,0.465
-0.605,0.46
-0.595,0.47
-0.6,0.45
-0.61,0.46
-0.62,0.485
-0.61,0.465
-0.61,0.46
-0.62,0.465
-0.615,0.47
-0.59,0.465
-0.58,0.455
-0.57,0.45
-0.59,0.45
-0.6,0.45
-0.595,0.45
-0.595,0.47
-0.605,0.465
-0.615,0.455
-0.615,0.465
-0.615,0.475
-0.61,0.48
-0.62,0.48
-0.585,0.465
-0.59,0.455
-0.6,0.45
-0.58,0.45
-0.57,0.45
-0.58,0.455
-0.575,0.475
-0.58,0.465
-0.595,0.445
-0.585,0.455
-0.58,0.46
-0.58,0.465
-0.57,0.48
-0.565,0.48
-0.56,0.475
-0.565,0.465
-0.56,0.475
-0.55,0.47
-0.55,0.46
-0.57,0.47
-0.575,0.47
-0.565,0.465
-0.55,0.47
-0.545,0.47
-0.555,0.465
-0.565,0.475
-0.565,0.475
-0.57,0.475
-0.57,0.475
-0.57,0.46
-0.57,0.455
-0.57,0.455
-0.555,0.455
-0.55,0.46
-0.555,0.46
-0.555,0.46
-0.555,0.47
-0.55,0.475
-0.54,0.455
-0.54,0.44
-0.54,0.43
-0.555,0.435
-0.54,0.445
-0.54,0.445
-0.545,0.44
-0.555,0.435
-0.545,0.43
-0.535,0.43
-0.54,0.445
-0.545,0.445
-0.56,0.445
-0.58,0.445
-0.55,0.46
-0.53,0.44
-0.515,0.415
-0.52,0.42
-0.535,0.43
-0.545,0.435
-0.545,0.425
-0.53,0.45
-0.52,0.465
-0.51,0.455
-0.5,0.44
-0.515,0.43
-0.545,0.415
-0.545,0.42
-0.535,0.43
-0.52,0.435
-0.495,0.42
-0.495,0.415
-0.5,0.42
-0.5,0.42
-0.52,0.42
-0.53,0.425
-0.54,0.43
-0.525,0.445
-0.485,0.45
-0.455,0.435
-0.48,0.415
-0.49,0.42
-0.475,0.43
-0.44,0.43
-0.43,0.41
-0.435,0.4
-0.465,0.395
-0.485,0.395
-0.495,0.395
-0.505,0.395
-0.51,0.405
-0.53,0.41
-0.55,0.41
-0.57,0.41
-0.575,0.395
-0.575,0.38
-0.555,0.38
-0.53,0.4
-0.51,0.4
-0.5,0.38
-0.515,0.41
-0.515,0.415
-0.49,0.395
-0.445,0.375
-0.45,0.37
-0.47,0.375
-0.5,0.36
-0.51,0.365
-0.51,0.375
-0.515,0.375
-0.485,0.385
-0.5,0.39
-0.535,0.39
-0.555,0.375
-0.545,0.37
-0.515,0.37
-0.5,0.355
-0.485,0.36
-0.475,0.37
-0.475,0.37
-0.465,0.365
-0.465,0.365
-0.485,0.36
-0.485,0.37
-0.48,0.365
-0.455,0.35
-0.455,0.355
-0.45,0.36
-0.45,0.36
-0.45,0.38
-0.46,0.36
-0.47,0.35
-0.47,0.375
-0.46,0.37
-0.455,0.365
-0.445,0.36
-0.425,0.345
-0.425,0.34
-0.445,0.34
-0.465,0.345
-0.475,0.355
-0.48,0.36
-0.485,0.345
-0.47,0.345
-0.45,0.355
-0.45,0.355
-0.46,0.34
-0.465,0.34
-0.46,0.34
-0.445,0.34
-0.43,0.345
-0.415,0.345
-0.395,0.325
-0.385,0.325
-0.38,0.335
-0.38,0.33
-0.38,0.345
-0.365,0.36
-0.345,0.35
-0.32,0.335
-0.315,0.31
-0.33,0.285
-0.33,0.295
-0.35,0.3
-0.37,0.3
-0.375,0.3
-0.36,0.295
-0.34,0.285
-0.34,0.295
-0.365,0.28
-0.38,0.28
-0.375,0.31
-0.36,0.305
-0.355,0.3
-0.345,0.29
-0.32,0.29
-0.31,0.29
-0.31,0.29
-0.315,0.29
-0.31,0.29
-0.285,0.285
-0.3,0.285
-0.235,0.26
-0.235,0.25
-0.255,0.26
-0.235,0.245
-0.225,0.24
-0.215,0.25
-0.225,0.23
-0.24,0.225
-0.25,0.23
-0.26,0.23
-0.265,0.26
-0.23,0.265
-0.17,0.24
-0.18,0.23
-0.2,0.22
-0.225,0.225
-0.2,0.24
-0.14,0.225
-0.085,0.195
-0.095,0.16
-0.12,0.155
-0.135,0.175
-0.115,0.205
-0.11,0.195
-0.11,0.185
-0.12,0.195
-0.115,0.195
-0.11,0.19
-0.1,0.185
-0.095,0.205
-0.09,0.205
-0.095,0.195
-0.085,0.18
-0.075,0.19
-0.065,0.2
-0.07,0.2
-0.05,0.195
-0.055,0.19
-0.05,0.175
-0.035,0.175
-0.03,0.175
-0.02,0.18
-0.01,0.17
0.005,0.16
0.015,0.165
0.015,0.175
0.005,0.185
0.02,0.185
0.06,0.175
0.08,0.17
0.08,0.16
0.065,0.145
0.075,0.15
0.08,0.145
0.08,0.135
0.09,0.14
0.095,0.15
0.09,0.16
0.095,0.15
0.1,0.145
0.095,0.145
0.1,0.14
0.11,0.14
0.115,0.14
0.12,0.14
0.12,0.15
0.125,0.14
0.13,0.125
0.13,0.125
0.13,0.13
0.13,0.13
0.12,0.13
0.155,0.13
0.15,0.125
0.15,0.125
0.155,0.125
0.15,0.125
0.135,0.13
0.155,0.13
0.175,0.13
0.19,0.13
0.195,0.12
0.2,0.115
0.205,0.12
0.22,0.13
0.21,0.12
0.2,0.115
0.19,0.105
0.215,0.105
0.225,0.095
0.225,0.08
0.2,0.095
0.2,0.1
0.21,0.095
0.21,0.1
0.215,0.09
0.22,0.08
0.215,0.08
0.23,0.07
0.24,0.07
0.255,0.08
0.255,0.08
0.265,0.085
0.28,0.08
0.305,0.08
0.315,0.07
0.33,0.06
0.32,0.065
0.355,0.045
0.36,0.04
0.355,0.035
0.37,0.035
0.38,0.04
0.375,0.045
0.38,0.045
0.395,0.045
0.405,0.035
0.4,0.015
0.405,0.01
0.41,0.01
0.39,0.02
0.39,0.03
0.4,0.04
0.42,0.03
0.445,0.005
0.46,-0.01
0.465,-0.02
0.45,-0.02
0.45,-0.01
0.475,-0.005
0.515,-0.02
0.52,-0.02
0.515,-0.015
0.505,-0.015
0.545,-0.02
0.58,-0.025
0.61,-0.03
0.65,-0.05
0.645,-0.06
0.625,-0.065
0.625,-0.05
0.615,-0.045
0.615,-0.05
0.605,-0.05
0.71,-0.065
0.74,-0.065
0.74,-0.05
0.755,-0.06
0.765,-0.065
0.785,-0.06
0.81,-0.08
0.83,-0.085
0.845,-0.09
0.82,-0.1
0.765,-0.095
0.73,-0.08
0.72,-0.065
0.705,-0.065
0.695,-0.07
0.695,-0.085
0.73,-0.09
0.765,-0.095
0.79,-0.105
0.79,-0.125
0.785,-0.125
0.77,-0.12
0.75,-0.13
0.74,-0.125
0.74,-0.115
0.755,-0.095
0.71,-0.1
0.685,-0.105
0.67,-0.095
0.69,-0.11
0.705,-0.115
0.725,-0.11
0.76,-0.11
0.745,-0.11
0.725,-0.115
0.73,-0.115
0.695,-0.115
0.66,-0.12
0.615,-0.145
0.625,-0.135
0.615,-0.13
0.59,-0.135
0.59,-0.1
0.595,-0.095
0.605,-0.105
0.615,-0.115
0.595,-0.12
0.575,-0.12
0.565,-0.1
0.565,-0.1
0.575,-0.1
0.585,-0.11
0.575,-0.12
0.585,-0.13
0.6,-0.14
0.565,-0.125
0.56,-0.125
0.55,-0.13
0.53,-0.11
0.54,-0.11
0.555,-0.115
0.57,-0.115
0.515,-0.1
0.46,-0.1
0.415,-0.115
0.425,-0.115
0.455,-0.12
0.48,-0.125
0.465,-0.125
0.47,-0.125
0.48,-0.12
0.48,-0.125
0.46,-0.1
0.445,-0.11
0.435,-0.125
0.42,-0.135
0.41,-0.14
0.42,-0.14
0.425,-0.115
0.43,-0.11
0.41,-0.115
0.36,-0.12
0.37,-0.135
0.38,-0.14
0.375,-0.12
0.39,-0.115
0.39,-0.11
0.37,-0.11
0.335,-0.11
0.32,-0.115
0.315,-0.12
0.305,-0.12
0.3,-0.125
0.315,-0.135
0.345,-0.135
0.345,-0.13
0.33,-0.12
0.305,-0.105
0.32,-0.12
0.325,-0.135
0.315,-0.145
0.32,-0.135
0.34,-0.13
0.355,-0.125
0.34,-0.14
0.32,-0.145
0.305,-0.145
0.31,-0.145
0.3,-0.15
0.295,-0.165
0.27,-0.16
0.29,-0.155
0.285,-0.15
0.265,-0.15
0.265,-0.14
0.26,-0.155
0.25,-0.175
0.24,-0.175
0.24,-0.175
0.255,-0.18
0.275,-0.165
0.265,-0.17
0.26,-0.175
0.255,-0.18
0.27,-0.195
0.285,-0.185
0.3,-0.175
0.3,-0.195
0.3,-0.2
0.29,-0.195
0.28,-0.205
0.27,-0.19
0.26,-0.185
0.245,-0.195
0.255,-0.195
0.27,-0.2
0.285,-0.2
0.29,-0.205
0.275,-0.195
0.255,-0.18
0.26,-0.195
0.26,-0.2
0.25,-0.195
0.255,-0.195
0.26,-0.18
0.295,-0.17
0.325,-0.17
0.275,-0.185
0.235,-0.195
0.205,-0.2
0.205,-0.2
0.23,-0.195
0.25,-0.19
0.26,-0.19
0.27,-0.195
0.275,-0.195
0.26,-0.2
0.245,-0.2
0.265,-0.195
0.31,-0.2
0.33,-0.205
0.295,-0.205
0.245,-0.195
0.235,-0.2
0.26,-0.205
0.275,-0.205
0.25,-0.205
0.255,-0.195
0.25,-0.185
0.225,-0.185
0.25,-0.19
0.26,-0.205
0.265,-0.22
0.255,-0.22
0.255,-0.205
0.255,-0.19
0.225,-0.2
0.23,-0.21
0.245,-0.215
0.24,-0.215
0.26,-0.22
0.27,-0.205
0.305,-0.185
0.335,-0.22
0.305,-0.24
0.26,-0.245
0.255,-0.22
0.275,-0.205
0.295,-0.205
0.27,-0.225
0.25,-0.23
0.23,-0.23
0.215,-0.215
0.225,-0.22
0.26,-0.235
0.295,-0.255
0.29,-0.26
0.27,-0.25
0.25,-0.235
0.235,-0.225
0.24,-0.23
0.255,-0.245
0.265,-0.26
0.24,-0.255
0.23,-0.25
0.25,-0.255
0.28,-0.27
0.29,-0.275
0.28,-0.27
0.27,-0.255
0.28,-0.245
0.295,-0.235
0.29,-0.245
0.275,-0.255
0.26,-0.265
0.26,-0.265
0.28,-0.25
0.285,-0.255
0.28,-0.245
0.315,-0.26
0.33,-0.27
0.325,-0.275
0.325,-0.255
0.29,-0.265
0.27,-0.28
0.29,-0.28
0.3,-0.28
0.31,-0.275
0.325,-0.275
0.315,-0.28
0.305,-0.295
0.29,-0.31
0.28,-0.31
0.3,-0.295
0.33,-0.28
0.345,-0.295
0.37,-0.3
0.37,-0.3
0.31,-0.305
0.31,-0.305
0.32,-0.3
0.33,-0.295
0.33,-0.305
0.325,-0.305
0.325,-0.295
0.315,-0.29
0.325,-0.295
0.345,-0.305
0.365,-0.315
0.345,-0.31
0.34,-0.3
0.325,-0.3
0.36,-0.3
0.35,-0.315
0.34,-0.33
0.36,-0.34
0.38,-0.335
0.4,-0.32
0.43,-0.32
0.45,-0.33
0.435,-0.345
0.355,-0.35
0.335,-0.35
0.33,-0.335
0.345,-0.32
0.345,-0.32
0.355,-0.33
0.37,-0.35
0.385,-0.35
0.405,-0.35
0.42,-0.35
0.42,-0.335
0.41,-0.345
0.395,-0.36
0.395,-0.37
0.405,-0.355
0.41,-0.345
0.39,-0.355
0.395,-0.355
0.405,-0.355
0.41,-0.345
0.37,-0.335
0.365,-0.325
0.375,-0.315
0.39,-0.325
0.395,-0.34
0.4,-0.35
0.395,-0.35
0.415,-0.335
0.42,-0.34
0.43,-0.36
0.43,-0.36
0.425,-0.355
0.405,-0.35
0.38,-0.36
0.365,-0.365
0.36,-0.36
0.37,-0.36
0.385,-0.365
0.395,-0.365
0.405,-0.355
0.395,-0.36
0.385,-0.37
0.395,-0.385
0.425,-0.375
0.42,-0.37
0.405,-0.365
0.385,-0.365
0.375,-0.36
0.37,-0.365
0.395,-0.365
0.38,-0.35
0.365,-0.345
0.345,-0.35
0.35,-0.35
0.36,-0.355
0.365,-0.365
0.375,-0.365
0.38,-0.37
0.38,-0.375
0.38,-0.365
0.38,-0.375
0.37,-0.385
0.38,-0.385
0.35,-0.37
0.36,-0.37
0.36,-0.38
0.365,-0.38
0.375,-0.375
0.38,-0.36
0.36,-0.38
0.37,-0.395
0.385,-0.4
0.38,-0.385
0.365,-0.38
0.355,-0.38
0.35,-0.375
0.365,-0.385
0.375,-0.395
0.385,-0.405
0.405,-0.405
0.385,-0.4
0.345,-0.385
0.31,-0.375
0.31,-0.395
0.33,-0.41
0.34,-0.395
0.35,-0.385
0.365,-0.38
0.39,-0.385
0.375,-0.4
0.35,-0.405
0.325,-0.4
0.325,-0.385
0.35,-0.38
0.38,-0.375
0.39,-0.39
0.36,-0.39
0.325,-0.385
0.33,-0.385
0.315,-0.375
0.325,-0.38
0.34,-0.41
0.345,-0.39
0.35,-0.38
0.365,-0.385
0.385,-0.395
0.38,-0.405
0.365,-0.41
0.345,-0.41
0.345,-0.405
0.355,-0.4
0.375,-0.38
0.385,-0.4
0.4,-0.415
0.41,-0.425
0.375,-0.405
0.35,-0.4
0.33,-0.4
0.33,-0.4
0.34,-0.39
0.35,-0.38
0.35,-0.385
0.365,-0.385
0.38,-0.385
0.39,-0.395
0.405,-0.42
0.415,-0.43
0.425,-0.425
0.425,-0.425
0.42,-0.425
0.425,-0.42
0.41,-0.415
0.41,-0.395
0.405,-0.38
0.415,-0.38
0.4,-0.405
0.41,-0.41
0.405,-0.41
0.395,-0.4
0.39,-0.395
0.395,-0.39
0.395,-0.39
0.39,-0.4
0.395,-0.405
0.4,-0.405
0.4,-0.42
0.395,-0.425
0.4,-0.405
0.41,-0.405
0.43,-0.41
0.445,-0.4
0.42,-0.415
0.405,-0.415
0.395,-0.41
0.395,-0.41
0.38,-0.43
0.37,-0.445
0.37,-0.435
0.37,-0.44
0.38,-0.435
0.4,-0.415
0.37,-0.415
0.36,-0.42
0.35,-0.435
0.355,-0.41
0.36,-0.41
0.355,-0.425
0.37,-0.435
0.375,-0.435
0.38,-0.425
0.38,-0.425
0.405,-0.44
0.41,-0.445
0.4,-0.44
0.39,-0.435
0.39,-0.43
0.4,-0.44
0.4,-0.44
0.41,-0.45
0.42,-0.46
0.42,-0.46
0.425,-0.455
0.435,-0.45
0.43,-0.44
0.42,-0.445
0.405,-0.45
0.385,-0.46
0.385,-0.455
0.38,-0.45
0.39,-0.45
0.425,-0.45
0.435,-0.46
0.425,-0.465
0.39,-0.46
0.375,-0.435
0.385,-0.435
0.425,-0.46
0.375,-0.46
0.35,-0.445
0.345,-0.425
0.37,-0.445
0.38,-0.45
0.385,-0.445
0.38,-0.445
0.375,-0.435
0.355,-0.425
0.37,-0.425
0.345,-0.415
0.38,-0.415
0.42,-0.435
0.405,-0.435
0.4,-0.43
0.405,-0.42
0.37,-0.435
0.35,-0.45
0.345,-0.46
0.375,-0.44
0.42,-0.435
0.42,-0.44
0.36,-0.45
0.295,-0.435
0.27,-0.43
0.285,-0.445
0.32,-0.425
0.35,-0.42
0.38,-0.42
0.415,-0.435
0.42,-0.45
0.42,-0.46
0.415,-0.45
0.42,-0.45
0.42,-0.44
0.41,-0.41
0.395,-0.435
0.405,-0.445
0.43,-0.45
0.465,-0.435
0.485,-0.445
0.51,-0.465
0.55,-0.46
0.555,-0.455
0.55,-0.45
0.55,-0.45
0.59,-0.46
0.61,-0.465
0.6,-0.455
0.63,-0.46
0.65,-0.465
0.66,-0.465
0.625,-0.47
0.615,-0.465
0.625,-0.455
0.655,-0.455
0.67,-0.46
0.68,-0.47
0.685,-0.475
0.675,-0.47
0.675,-0.465
0.69,-0.465
0.69,-0.48
0.675,-0.475
0.645,-0.465
0.605,-0.465
0.565,-0.45
0.545,-0.435
0.56,-0.445
0.565,-0.45
0.57,-0.455
0.585,-0.46
0.6,-0.46
0.585,-0.455
0.555,-0.44
0.51,-0.445
0.495,-0.445
0.5,-0.44
0.54,-0.45
0.555,-0.455
0.565,-0.46
0.565,-0.46
0.545,-0.465
0.52,-0.46
0.495,-0.44
0.5,-0.455
0.525,-0.465
0.545,-0.465
0.52,-0.46
0.49,-0.455
0.465,-0.46
0.45,-0.46
0.46,-0.455
0.49,-0.46
0.535,-0.45
0.535,-0.46
0.545,-0.465
0.565,-0.46
0.565,-0.46
0.555,-0.46
0.545,-0.465
0.535,-0.465
0.545,-0.455
0.56,-0.445
0.57,-0.445
0.575,-0.46
0.585,-0.465
0.605,-0.465
0.605,-0.45
0.61,-0.45
0.62,-0.465
0.615,-0.465
0.605,-0.465
0.6,-0.465
0.625,-0.465
0.63,-0.47
0.615,-0.475
0.635,-0.48
0.595,-0.46
0.605,-0.465
0.62,-0.465
0.63,-0.475
0.635,-0.485
0.625,-0.495
0.63,-0.495
0.64,-0.47
0.635,-0.45
0.595,-0.45
0.6,-0.46
0.625,-0.47
0.665,-0.485
0.64,-0.475
0.62,-0.47
0.595,-0.46
0.615,-0.46
0.65,-0.465
0.68,-0.465
0.66,-0.465
0.63,-0.465
0.605,-0.46
0.605,-0.46
0.61,-0.47
0.61,-0.47
0.625,-0.455
0.63,-0.455
0.625,-0.465
0.61,-0.475
0.635,-0.48
0.635,-0.47
0.62,-0.455
0.62,-0.445
0.62,-0.465
0.62,-0.48
0.62,-0.485
0.59,-0.46
0.58,-0.45
0.59,-0.44
0.585,-0.45
0.585,-0.455
0.6,-0.455
0.62,-0.455
0.61,-0.45
0.59,-0.455
0.59,-0.465
0.605,-0.47
0.625,-0.47
0.635,-0.47
0.615,-0.47
