"EM noise, signal 0","EM noise, signal 1"
-0.54,0.145
-0.54,0.13
-0.57,0.13
-0.595,0.135
-0.62,0.135
-0.615,0.115
-0.585,0.115
-0.55,0.125
-0.515,0.125
-0.49,0.11
-0.475,0.1
-0.47,0.09
-0.475,0.07
-0.48,0.05
-0.485,0.025
-0.465,0.025
-0.445,0.005
-0.43,-0.015
-0.43,-0.015
-0.415,-0.02
-0.4,-0.025
-0.4,-0.025
-0.38,-0.035
-0.365,-0.04
-0.365,-0.04
-0.355,-0.05
-0.35,-0.04
-0.35,-0.025
-0.33,-0.055
-0.32,-0.065
-0.32,-0.06
-0.325,-0.045
-0.33,-0.045
-0.325,-0.05
-0.31,-0.05
-0.305,-0.04
-0.3,-0.035
-0.285,-0.025
-0.295,-0.035
-0.295,-0.04
-0.28,-0.04
-0.28,-0.035
-0.27,-0.02
-0.26,-0.01
-0.24,-0.015
-0.23,-0.025
-0.22,-0.03
-0.22,-0.035
-0.21,-0.025
-0.195,-0.015
-0.185,-0.015
-0.175,-0.015
-0.17,-0.02
-0.16,-0.025
-0.17,-0.005
-0.195,0.0
-0.215,0.0
-0.215,0.015
-0.21,0.025
-0.215,0.035
-0.215,0.035
-0.205,0.05
-0.2,0.045
-0.2,0.025
-0.215,0.015
-0.22,0.01
-0.23,0.01
-0.21,0.01
-0.2,0.015
-0.195,0.01
-0.195,0.01
-0.195,0.01
-0.19,0.02
-0.17,0.035
-0.16,0.035
-0.14,0.02
-0.115,0.0
-0.1,0.01
-0.095,0.015
-0.095,0.02
-0.11,0.02
-0.115,0.025
-0.12,0.035
-0.12,0.035
-0.14,0.04
-0.165,0.035
-0.185,0.02
-0.215,0.065
-0.24,0.085
-0.26,0.095
-0.27,0.095
-0.28,0.115
-0.29,0.13
-0.315,0.12
-0.335,0.125
-0.355,0.135
-0.35,0.135
-0.39,0.145
-0.4,0.155
-0.4,0.155
-0.415,0.155
-0.425,0.16
-0.43,0.155
-0.41,0.155
-0.375,0.16
-0.335,0.165
-0.295,0.175
-0.275,0.18
-0.27,0.175
-0.29,0.17
-0.285,0.18
-0.27,0.195
-0.25,0.205
-0.235,0.205
-0.235,0.2
-0.235,0.205
-0.205,0.205
-0.18,0.205
-0.16,0.21
-0.16,0.205
-0.135,0.21
-0.095,0.23
-0.05,0.255
-0.02,0.255
0.01,0.265
0.055,0.275
0.135,0.28
0.225,0.27
0.31,0.25
0.365,0.22
0.44,0.21
0.505,0.205
0.485,0.205
0.595,0.21
0.62,0.22
0.635,0.2
0.635,0.2
0.635,0.2
0.63,0.19
0.61,0.2
0.565,0.205
0.51,0.205
0.46,0.205
0.44,0.2
0.42,0.195
0.4,0.205
0.36,0.21
0.315,0.215
0.27,0.205
0.245,0.205
0.22,0.205
0.2,0.21
0.175,0.21
0.165,0.215
0.155,0.215
0.15,0.19
0.15,0.215
0.155,0.23
0.16,0.22
0.15,0.22
0.145,0.21
0.145,0.195
0.145,0.215
0.145,0.22
0.15,0.215
0.15,0.21
0.155,0.205
0.155,0.205
0.155,0.21
0.165,0.2
0.165,0.205
0.17,0.195
0.18,0.195
0.185,0.19
0.175,0.195
0.19,0.195
0.21,0.195
0.23,0.19
0.23,0.19
0.23,0.165
0.24,0.15
0.25,0.16
0.265,0.15
0.285,0.16
0.315,0.185
0.37,0.18
0.43,0.16
0.455,0.14
0.395,0.12
0.425,0.15
0.47,0.175
0.505,0.18
0.5,0.165
0.495,0.155
0.49,0.165
0.48,0.185
0.485,0.2
0.5,0.215
0.5,0.215
0.555,0.225
0.615,0.23
0.615,0.205
0.58,0.185
0.535,0.195
0.55,0.175
0.465,0.245
0.41,0.25
0.36,0.27
0.485,0.275
0.615,0.23
0.705,0.16
0.625,0.115
0.555,0.155
0.52,0.2
0.55,0.21
0.53,0.19
0.515,0.175
0.51,0.195
0.475,0.175
0.395,0.165
0.285,0.165
0.19,0.2
0.15,0.215
0.155,0.22
0.235,0.2
0.255,0.195
0.25,0.185
0.205,0.16
0.215,0.145
0.21,0.12
0.18,0.085
0.12,0.085
0.08,0.08
0.045,0.075
0.045,0.075
0.05,0.07
0.06,0.065
0.03,0.065
0.02,0.06
0.025,0.06
0.01,0.06
0.07,0.06
0.095,0.05
0.135,0.03
0.165,0.03
0.165,0.03
0.135,0.02
0.095,0.03
0.045,0.05
0.005,0.065
-0.005,0.07
0.04,0.09
0.095,0.1
0.14,0.09
0.14,0.085
0.15,0.075
0.18,0.06
0.265,0.06
0.315,0.07
0.355,0.08
0.42,0.07
0.505,0.055
0.61,0.04
0.735,0.04
0.81,0.055
0.875,0.065
0.935,0.055
1.04,0.05
1.12,0.035
1.17,0.015
1.14,0.01
1.125,0.005
1.12,0.005
1.12,0.02
1.105,0.025
1.07,0.025
1.085,0.02
0.985,0.05
0.9,0.05
0.8,0.07
0.735,0.07
0.685,0.075
0.635,0.08
0.575,0.08
0.46,0.06
0.365,0.045
0.335,0.055
0.345,0.095
0.36,0.125
0.36,0.145
0.34,0.18
0.33,0.2
0.345,0.21
0.38,0.225
0.405,0.23
0.41,0.225
0.375,0.235
0.39,0.24
0.405,0.235
0.375,0.215
0.36,0.23
0.355,0.25
0.355,0.27
0.355,0.27
0.35,0.255
0.325,0.235
0.245,0.225
0.21,0.205
0.19,0.18
0.19,0.16
0.185,0.14
0.175,0.13
0.19,0.125
0.09,0.16
0.04,0.165
-0.005,0.165
-0.005,0.175
-0.01,0.18
0.0,0.185
-0.005,0.16
-0.02,0.15
-0.03,0.16
-0.035,0.19
-0.04,0.175
-0.05,0.16
-0.075,0.165
-0.075,0.16
-0.07,0.145
-0.06,0.125
-0.075,0.135
-0.095,0.14
-0.115,0.135
-0.13,0.12
-0.14,0.115
-0.15,0.115
-0.15,0.115
-0.155,0.12
-0.16,0.11
-0.16,0.1
-0.16,0.095
-0.175,0.095
-0.2,0.11
-0.2,0.135
-0.225,0.14
-0.245,0.14
-0.24,0.15
-0.235,0.155
-0.24,0.15
-0.24,0.15
-0.24,0.125
-0.23,0.115
-0.23,0.095
-0.25,0.085
-0.245,0.065
-0.22,0.04
-0.23,0.055
-0.245,0.08
-0.255,0.105
-0.255,0.115
-0.255,0.11
-0.255,0.1
-0.26,0.11
-0.25,0.11
-0.235,0.1
-0.22,0.085
-0.195,0.06
-0.21,0.05
-0.235,0.055
-0.22,0.07
-0.195,0.07
-0.18,0.06
-0.195,0.05
-0.22,0.055
-0.23,0.06
-0.21,0.05
-0.21,0.045
-0.205,0.05
-0.19,0.065
-0.205,0.06
-0.2,0.045
-0.19,0.03
-0.185,0.03
-0.17,0.025
-0.16,0.02
-0.16,0.015
-0.14,0.035
-0.13,0.025
-0.12,0.025
-0.135,0.025
-0.14,0.025
-0.14,0.03
-0.13,0.01
-0.125,0.005
-0.125,0.01
-0.135,0.01
-0.13,0.015
-0.12,0.005
-0.12,-0.015
-0.105,-0.015
-0.09,-0.015
-0.08,-0.01
-0.07,-0.01
-0.065,-0.01
-0.06,-0.02
-0.055,-0.025
-0.045,-0.03
-0.03,-0.03
-0.015,-0.03
-0.005,-0.045
-0.005,-0.06
-0.015,-0.09
-0.015,-0.105
-0.01,-0.115
0.0,-0.115
-0.025,-0.115
-0.02,-0.125
-0.005,-0.13
0.01,-0.14
0.02,-0.15
0.03,-0.17
0.03,-0.16
0.035,-0.195
0.04,-0.195
0.05,-0.2
0.065,-0.215
0.085,-0.225
0.105,-0.225
0.095,-0.245
0.085,-0.245
0.075,-0.235
0.075,-0.245
0.08,-0.265
0.085,-0.28
0.095,-0.275
0.085,-0.28
0.085,-0.285
0.11,-0.29
0.12,-0.3
0.13,-0.315
0.135,-0.33
0.14,-0.335
0.145,-0.33
0.15,-0.32
0.15,-0.32
0.17,-0.33
0.175,-0.325
0.16,-0.3
0.145,-0.31
0.14,-0.315
0.145,-0.305
0.15,-0.305
0.155,-0.32
0.16,-0.33
0.165,-0.315
0.195,-0.305
0.22,-0.3
0.215,-0.3
0.27,-0.34
0.285,-0.345
0.29,-0.32
0.295,-0.33
0.29,-0.335
0.275,-0.34
0.27,-0.325
0.265,-0.31
0.27,-0.295
0.27,-0.295
0.245,-0.295
0.23,-0.28
0.24,-0.26
0.24,-0.26
0.25,-0.255
0.275,-0.26
0.275,-0.27
0.29,-0.265
0.31,-0.255
0.33,-0.245
0.33,-0.24
0.32,-0.24
0.325,-0.23
0.33,-0.225
0.34,-0.225
0.36,-0.22
0.375,-0.205
0.37,-0.205
0.355,-0.225
0.345,-0.225
0.335,-0.225
0.33,-0.225
0.33,-0.225
0.33,-0.215
0.33,-0.21
0.325,-0.21
0.385,-0.21
0.4,-0.22
0.38,-0.215
0.38,-0.225
0.375,-0.23
0.365,-0.22
0.39,-0.22
0.41,-0.215
0.42,-0.21
0.42,-0.2
0.43,-0.205
0.445,-0.215
0.445,-0.22
0.435,-0.23
0.43,-0.215
0.43,-0.18
0.43,-0.18
0.435,-0.18
0.44,-0.17
0.44,-0.135
0.43,-0.135
0.425,-0.145
0.425,-0.14
0.445,-0.125
0.45,-0.11
0.44,-0.095
0.455,-0.095
0.455,-0.09
0.435,-0.085
0.405,-0.085
0.38,-0.085
0.35,-0.08
0.31,-0.085
0.28,-0.08
0.255,-0.075
0.26,-0.07
0.2,-0.075
0.175,-0.065
0.155,-0.06
0.17,-0.025
0.17,-0.015
0.155,-0.01
0.135,-0.005
0.12,0.0
0.105,0.0
0.1,0.0
0.1,0.02
0.105,0.03
0.11,0.02
0.11,0.015
0.12,0.01
0.145,0.015
0.115,-0.015
0.105,-0.025
0.1,-0.025
0.12,-0.025
0.13,-0.015
0.14,-0.005
0.16,-0.005
0.155,-0.01
0.14,-0.005
0.12,-0.01
0.105,-0.01
0.105,-0.015
0.125,-0.01
0.11,-0.015
0.085,-0.02
0.055,-0.025
0.01,-0.025
-0.01,-0.02
-0.02,-0.025
-0.02,-0.025
-0.05,-0.04
-0.06,-0.045
-0.05,-0.04
-0.05,-0.04
-0.045,-0.04
-0.04,-0.035
-0.025,-0.035
-0.025,-0.02
-0.025,-0.01
-0.005,-0.02
0.0,-0.03
0.005,-0.035
0.025,-0.025
0.02,-0.025
0.025,-0.035
0.045,-0.045
0.055,-0.045
0.06,-0.04
0.06,-0.025
0.06,0.015
0.065,0.015
0.06,0.0
0.05,0.01
0.055,0.015
0.07,0.01
0.1,-0.01
0.095,-0.01
0.07,-0.01
0.05,0.0
0.1,-0.005
0.11,-0.01
0.1,-0.015
0.085,-0.035
-0.005,-0.025
-0.1,0.0
-0.065,-0.01
-0.165,0.06
-0.135,0.065
-0.11,0.04
-0.09,0.03
-0.085,0.015
-0.12,0.0
-0.22,0.01
-0.16,0.04
-0.08,0.05
-0.04,0.015
-0.085,-0.005
-0.14,-0.01
-0.2,0.005
-0.185,0.04
-0.105,0.045
-0.005,0.015
-0.035,-0.04
-0.095,-0.035
-0.145,-0.01
-0.145,-0.005
-0.15,0.0
-0.165,0.0
-0.18,0.0
-0.165,0.01
-0.175,0.015
-0.22,-0.005
-0.255,0.02
-0.3,0.035
-0.34,0.05
-0.32,0.025
-0.315,0.025
-0.33,0.04
-0.375,0.085
-0.365,0.085
-0.375,0.07
-0.345,0.08
-0.515,0.04
-0.545,0.03
-0.54,0.01
-0.54,0.01
-0.51,0.01
-0.48,0.005
-0.46,-0.015
-0.48,-0.03
-0.515,-0.04
-0.54,-0.045
-0.6,-0.05
-0.635,-0.055
-0.635,-0.045
-0.575,-0.04
-0.52,-0.04
-0.465,-0.05
-0.395,-0.055
-0.39,-0.05
-0.425,-0.04
-0.46,-0.06
-0.46,-0.05
-0.45,-0.035
-0.445,-0.035
-0.46,-0.03
-0.48,-0.025
-0.495,-0.025
-0.435,-0.025
-0.32,-0.025
-0.17,-0.035
-0.01,-0.035
0.095,-0.03
0.185,-0.03
0.265,-0.05
0.36,-0.06
0.45,-0.07
0.415,-0.065
0.575,-0.05
0.635,-0.03
0.705,-0.02
0.765,-0.03
0.795,-0.045
0.81,-0.065
0.775,-0.075
0.75,-0.08
0.72,-0.08
0.68,-0.075
0.61,-0.06
0.565,-0.06
0.555,-0.08
0.51,-0.075
0.455,-0.07
0.395,-0.065
0.35,-0.09
0.325,-0.095
0.31,-0.085
0.28,-0.07
0.265,-0.025
0.245,0.02
0.22,0.055
0.17,0.08
0.13,0.115
0.1,0.16
0.145,0.175
0.18,0.205
0.205,0.23
0.225,0.23
0.225,0.205
0.225,0.19
0.255,0.205
0.25,0.19
0.24,0.165
0.24,0.17
0.225,0.15
0.225,0.14
0.23,0.125
0.19,0.125
0.145,0.125
0.095,0.125
0.055,0.115
0.025,0.105
0.0,0.1
-0.015,0.1
-0.03,0.07
-0.045,0.05
-0.065,0.04
-0.11,0.04
-0.15,0.035
-0.185,0.04
-0.21,0.045
-0.21,0.045
-0.2,0.035
-0.2,0.035
-0.2,0.04
-0.215,0.055
-0.235,0.05
-0.255,0.045
-0.285,0.045
-0.33,0.05
-0.395,0.065
-0.42,0.065
-0.42,0.05
-0.43,0.06
-0.465,0.08
-0.495,0.1
-0.5,0.09
-0.52,0.085
-0.54,0.09
-0.535,0.09
-0.57,0.085
-0.595,0.08
-0.63,0.08
-0.665,0.08
-0.69,0.085
-0.705,0.095
-0.68,0.095
-0.655,0.1
-0.655,0.1
-0.695,0.1
-0.715,0.105
-0.735,0.11
-0.745,0.095
-0.73,0.105
-0.72,0.105
-0.73,0.085
-0.73,0.085
-0.73,0.07
-0.725,0.05
-0.725,0.05
-0.725,0.05
-0.72,0.045
-0.73,0.045
-0.73,0.035
-0.72,0.04
-0.71,0.07
-0.71,0.065
-0.71,0.06
-0.72,0.05
-0.72,0.05
-0.725,0.04
-0.745,0.035
-0.76,0.03
-0.76,0.025
-0.755,0.025
-0.755,0.03
-0.745,0.005
-0.74,0.01
-0.755,0.01
-0.755,0.03
-0.76,0.03
-0.75,0.015
-0.75,0.005
-0.75,0.005
-0.745,0.01
-0.735,0.01
-0.73,0.005
-0.725,0.015
-0.72,0.035
-0.725,0.035
-0.73,0.03
-0.735,0.04
-0.74,0.015
-0.745,0.005
-0.74,0.005
-0.755,0.005
-0.745,0.01
-0.725,0.01
-0.715,0.005
-0.715,0.0
-0.715,0.005
-0.7,0.0
-0.68,-0.015
-0.675,-0.02
-0.69,-0.025
-0.665,-0.025
-0.64,-0.035
-0.62,-0.045
-0.62,-0.04
-0.62,-0.035
-0.615,-0.035
-0.615,-0.035
-0.605,-0.05
-0.605,-0.06
-0.595,-0.07
-0.595,-0.085
-0.605,-0.085
-0.62,-0.07
-0.61,-0.09
-0.61,-0.09
-0.615,-0.08
-0.605,-0.085
-0.595,-0.09
-0.585,-0.09
-0.575,-0.1
-0.575,-0.095
-0.575,-0.1
-0.565,-0.12
-0.55,-0.11
-0.545,-0.11
-0.54,-0.115
-0.535,-0.115
-0.53,-0.11
-0.525,-0.105
-0.505,-0.105
-0.48,-0.095
-0.45,-0.085
-0.405,-0.085
-0.4,-0.09
-0.39,-0.095
-0.375,-0.105
-0.345,-0.105
-0.335,-0.1
-0.325,-0.095
-0.3,-0.085
-0.295,-0.085
-0.3,-0.09
-0.3,-0.09
-0.265,-0.07
-0.235,-0.07
-0.23,-0.09
-0.275,-0.075
-0.295,-0.07
-0.295,-0.075
-0.275,-0.065
-0.255,-0.055
-0.23,-0.05
-0.215,-0.055
-0.22,-0.065
-0.23,-0.07
-0.24,-0.055
-0.27,-0.04
-0.285,-0.03
-0.29,-0.035
-0.3,-0.035
-0.31,-0.04
-0.32,-0.045
-0.315,-0.045
-0.31,-0.045
-0.315,-0.045
-0.315,-0.055
-0.325,-0.065
-0.335,-0.065
-0.33,-0.05
-0.32,-0.03
-0.31,-0.005
-0.295,0.02
-0.295,0.045
-0.285,0.05
-0.27,0.04
-0.24,0.02
-0.215,0.01
-0.195,0.0
-0.195,0.0
-0.2,0.0
-0.205,0.005
-0.2,0.0
-0.195,0.01
-0.175,0.015
-0.155,0.015
-0.165,0.005
-0.17,0.01
-0.17,0.02
-0.16,0.02
-0.18,0.035
-0.2,0.045
-0.215,0.055
-0.215,0.065
-0.235,0.08
-0.27,0.095
-0.3,0.105
-0.335,0.13
-0.365,0.155
-0.385,0.16
-0.395,0.165
-0.395,0.17
-0.385,0.17
-0.39,0.17
-0.39,0.165
-0.375,0.16
-0.385,0.175
-0.39,0.175
-0.4,0.16
-0.425,0.14
-0.425,0.135
-0.415,0.135
-0.41,0.125
-0.41,0.105
-0.42,0.1
-0.415,0.095
-0.415,0.12
-0.38,0.12
-0.335,0.115
-0.29,0.1
-0.255,0.08
-0.22,0.065
-0.17,0.085
-0.12,0.095
-0.07,0.1
-0.02,0.085
0.035,0.08
0.105,0.075
0.185,0.075
0.245,0.05
0.27,0.035
0.265,0.045
0.275,0.045
0.275,0.045
0.26,0.045
0.23,0.045
0.22,0.045
0.19,0.045
0.13,0.04
0.075,0.055
0.035,0.065
-0.005,0.055
-0.065,0.05
-0.13,0.045
-0.2,0.05
-0.255,0.06
-0.29,0.065
-0.315,0.065
-0.345,0.065
-0.35,0.06
-0.35,0.05
-0.35,0.05
-0.345,0.06
-0.345,0.065
-0.355,0.065
-0.34,0.085
-0.33,0.095
-0.315,0.09
-0.28,0.07
-0.27,0.065
-0.28,0.07
-0.295,0.08
-0.3,0.085
-0.3,0.09
-0.285,0.1
-0.26,0.09
-0.235,0.075
-0.22,0.06
-0.205,0.06
-0.21,0.06
-0.22,0.065
-0.195,0.08
-0.22,0.075
-0.24,0.065
-0.215,0.075
-0.185,0.075
-0.18,0.065
-0.2,0.045
-0.235,0.045
-0.245,0.065
-0.22,0.095
-0.17,0.095
-0.19,0.075
-0.215,0.055
-0.18,0.065
-0.205,0.075
-0.245,0.08
-0.23,0.08
-0.25,0.07
-0.23,0.075
-0.23,0.1
-0.23,0.085
-0.255,0.08
-0.285,0.09
-0.285,0.1
-0.26,0.105
-0.24,0.11
-0.255,0.11
-0.28,0.15
-0.32,0.155
-0.375,0.125
-0.41,0.115
-0.445,0.105
-0.475,0.095
-0.475,0.09
-0.465,0.09
-0.445,0.1
-0.46,0.1
-0.44,0.09
-0.38,0.065
-0.28,0.04
-0.34,0.075
-0.42,0.085
-0.5,0.055
-0.5,0.035
-0.445,0.025
-0.34,0.015
-0.14,0.025
-0.025,0.045
0.03,0.065
-0.015,0.055
0.085,0.01
0.24,-0.025
0.155,-0.02
0.325,-0.035
0.185,-0.025
0.025,-0.02
-0.06,-0.065
-0.4,-0.08
-0.73,-0.055
-0.61,0.055
-0.275,0.105
0.035,0.105
0.2,0.035
0.29,0.02
0.23,0.02
0.015,0.03
-0.055,0.025
-0.015,0.03
0.1,0.055
0.165,0.055
0.135,0.035
0.08,0.01
0.06,0.045
0.04,0.06
-0.045,0.035
-0.22,-0.055
-0.345,-0.05
-0.355,-0.01
-0.265,0.055
-0.235,0.04
-0.17,0.07
-0.11,0.115
-0.21,0.14
-0.305,0.145
-0.385,0.135
-0.415,0.1
-0.36,0.11
-0.29,0.125
-0.315,0.125
-0.17,0.12
-0.14,0.115
-0.13,0.12
-0.19,0.125
-0.215,0.17
-0.23,0.21
-0.21,0.185
-0.21,0.19
-0.2,0.195
-0.135,0.175
-0.095,0.185
-0.08,0.19
-0.09,0.165
-0.06,0.135
-0.04,0.11
-0.03,0.09
-0.02,0.085
-0.01,0.065
0.0,0.045
0.0,0.045
-0.005,0.045
-0.015,0.05
-0.03,0.035
-0.045,0.025
-0.065,0.03
-0.085,0.05
-0.1,0.02
-0.125,0.005
-0.15,-0.005
-0.165,-0.02
-0.16,-0.025
-0.145,-0.02
-0.13,-0.005
-0.12,0.005
-0.11,0.02
-0.11,0.015
-0.145,0.035
-0.19,0.04
-0.23,0.035
-0.25,0.045
-0.275,0.05
-0.3,0.04
-0.3,0.04
-0.305,0.035
-0.32,0.03
-0.32,0.045
-0.335,0.055
-0.345,0.05
-0.345,0.025
-0.345,0.015
-0.325,0.005
-0.295,-0.01
-0.295,-0.01
-0.295,-0.015
-0.3,-0.02
-0.295,-0.005
-0.285,-0.005
-0.28,-0.01
-0.275,-0.01
-0.25,-0.015
-0.255,-0.025
-0.29,-0.035
-0.295,-0.035
-0.285,-0.025
-0.27,-0.005
-0.315,-0.02
-0.33,-0.025
-0.315,-0.025
-0.285,0.0
-0.28,-0.01
-0.285,-0.02
-0.28,-0.025
-0.3,-0.005
-0.29,-0.01
-0.265,-0.005
-0.255,-0.015
-0.25,-0.02
-0.25,-0.02
-0.23,-0.025
-0.21,-0.03
-0.2,-0.035
-0.21,-0.045
-0.235,-0.05
-0.245,-0.05
-0.225,-0.04
-0.195,-0.05
-0.18,-0.06
-0.175,-0.06
-0.155,-0.08
-0.14,-0.09
-0.13,-0.095
-0.135,-0.13
-0.145,-0.14
-0.14,-0.135
-0.115,-0.14
-0.1,-0.155
-0.095,-0.165
-0.095,-0.16
-0.1,-0.175
-0.105,-0.19
-0.115,-0.21
-0.115,-0.245
-0.115,-0.265
-0.115,-0.28
-0.085,-0.3
-0.07,-0.31
-0.05,-0.31
-0.06,-0.315
-0.025,-0.295
-0.02,-0.3
0.0,-0.3
0.0,-0.33
0.005,-0.34
0.01,-0.345
0.025,-0.365
0.04,-0.375
0.045,-0.385
0.025,-0.385
0.025,-0.385
0.035,-0.375
0.055,-0.385
0.065,-0.395
0.07,-0.395
0.075,-0.38
0.075,-0.385
0.085,-0.38
0.09,-0.37
0.095,-0.355
0.115,-0.355
0.135,-0.365
0.155,-0.365
0.165,-0.365
0.17,-0.37
0.17,-0.375
0.2,-0.37
0.195,-0.365
0.17,-0.36
0.17,-0.345
0.18,-0.35
0.21,-0.355
0.245,-0.34
0.285,-0.34
0.32,-0.35
0.315,-0.35
0.345,-0.345
0.325,-0.335
0.29,-0.325
0.3,-0.295
0.31,-0.28
0.325,-0.27
0.35,-0.27
0.365,-0.26
0.385,-0.25
0.4,-0.25
0.42,-0.25
0.425,-0.26
0.395,-0.25
0.34,-0.255
0.315,-0.25
0.315,-0.23
0.33,-0.23
0.335,-0.24
0.335,-0.25
0.335,-0.245
0.32,-0.255
0.305,-0.26
0.3,-0.225
0.325,-0.235
0.35,-0.25
0.36,-0.26
0.39,-0.235
0.445,-0.225
0.51,-0.22
0.575,-0.2
0.595,-0.195
0.595,-0.195
0.575,-0.205
0.545,-0.22
0.525,-0.23
0.525,-0.23
0.495,-0.19
0.48,-0.18
0.455,-0.19
0.39,-0.18
0.33,-0.185
0.275,-0.2
0.225,-0.2
0.18,-0.195
0.145,-0.185
0.105,-0.185
0.08,-0.18
0.045,-0.175
0.0,-0.18
-0.025,-0.18
-0.05,-0.17
-0.065,-0.155
-0.075,-0.15
-0.08,-0.135
-0.085,-0.12
-0.095,-0.12
-0.11,-0.11
-0.11,-0.1
-0.07,-0.1
-0.025,-0.095
0.0,-0.095
0.02,-0.1
0.035,-0.09
0.05,-0.075
0.07,-0.06
0.085,-0.035
0.1,-0.025
0.125,-0.02
0.155,-0.01
0.18,0.01
0.21,0.015
0.2,0.02
0.255,-0.015
0.295,-0.025
0.345,-0.025
0.385,-0.055
0.43,-0.085
0.49,-0.11
0.58,-0.12
0.695,-0.13
0.82,-0.145
0.945,-0.155
1.025,-0.175
1.07,-0.185
1.085,-0.175
1.095,-0.16
1.1,-0.145
1.09,-0.135
1.07,-0.12
1.06,-0.115
1.05,-0.11
1.015,-0.11
0.98,-0.115
0.925,-0.115
0.845,-0.125
0.77,-0.13
0.705,-0.125
0.65,-0.105
0.6,-0.125
0.555,-0.14
0.515,-0.15
0.48,-0.125
0.45,-0.115
0.43,-0.115
0.43,-0.13
0.43,-0.13
0.43,-0.12
0.43,-0.12
0.42,-0.12
0.42,-0.115
0.44,-0.115
0.455,-0.1
0.445,-0.11
0.425,-0.13
0.425,-0.125
0.44,-0.115
0.46,-0.105
0.475,-0.115
0.46,-0.125
0.445,-0.135
0.455,-0.145
0.465,-0.135
0.475,-0.115
0.485,-0.1
0.505,-0.095
0.525,-0.105
0.535,-0.12
0.54,-0.12
0.54,-0.135
0.52,-0.145
0.48,-0.13
0.51,-0.11
0.57,-0.1
0.645,-0.1
0.64,-0.145
0.59,-0.145
0.52,-0.12
0.49,-0.115
0.535,-0.11
0.59,-0.11
0.59,-0.135
0.58,-0.14
0.57,-0.145
0.57,-0.145
0.56,-0.13
0.545,-0.12
0.53,-0.115
0.5,-0.1
0.5,-0.09
